,Sterman biomass,SE_LSP trf_linear  biomass,SE_LSP trf_linear (constrained) biomass,SE_LSP trf_soft_l1  biomass,SE_LSP trf_huber (constrained) biomass
299,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
300,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
301,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
302,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
303,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
304,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
305,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
306,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
307,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
308,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
309,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
310,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
311,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
312,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
313,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
314,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
315,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
316,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
317,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
318,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
319,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
320,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
