,Sterman soil,SC_OP trf_linear  soil,SC_OP trf_linear (constrained) soil,SC_OP trf_soft_l1 (constrained) soil,SC_OP trf_huber (constrained) soil,SC_OP trf_cauchy (constrained) soil
9122,172.11532562961065,397.747634191148,188.07879549020635,190.05610965805795,194.43628587832205,198.62001881259704
9123,172.11532562961065,397.7477029765882,188.07879549020635,190.056109658058,194.43628587832225,198.62001881261102
9124,172.11532562961065,397.74777169807686,188.07879549020635,190.05610965805806,194.43628587832245,198.62001881262495
9125,172.11532562961065,397.74784035567353,188.07879549020635,190.05610965805812,194.43628587832265,198.62001881263885
9126,172.11532562961065,397.7479089494376,188.07879549020635,190.05610965805818,194.43628587832285,198.62001881265272
9127,172.11532562961065,397.74797747942836,188.07879549020635,190.05610965805823,194.43628587832305,198.62001881266656
9128,172.11532562961065,397.74804594570514,188.07879549020635,190.0561096580583,194.43628587832325,198.62001881268034
9129,172.11532562961065,397.7481143483272,188.07879549020635,190.05610965805835,194.43628587832345,198.6200188126941
9130,172.11532562961065,397.7481826873537,188.07879549020635,190.0561096580584,194.43628587832364,198.62001881270783
9131,172.11532562961065,397.7482509628437,188.07879549020635,190.05610965805846,194.43628587832384,198.6200188127215
9132,172.11532562961065,397.74831917485636,188.07879549020635,190.05610965805852,194.43628587832404,198.62001881273514
9133,172.11532562961065,397.7483873234507,188.07879549020635,190.05610965805857,194.43628587832424,198.62001881274875
9134,172.11532562961065,397.74845540868563,188.07879549020635,190.05610965805863,194.43628587832444,198.62001881276234
9135,172.11532562961065,397.7485234306201,188.07879549020635,190.0561096580587,194.43628587832464,198.62001881277587
9136,172.11532562961065,397.7485913893129,188.07879549020635,190.05610965805874,194.43628587832484,198.62001881278937
9137,172.11532562961065,397.74865928482285,188.07879549020635,190.0561096580588,194.43628587832504,198.62001881280284
9138,172.11532562961065,397.7487271172087,188.07879549020635,190.05610965805886,194.43628587832524,198.62001881281628
9139,172.11532562961065,397.7487948865292,188.07879549020635,190.05610965805892,194.43628587832544,198.62001881282967
9140,172.11532562961065,397.7488625928429,188.07879549020635,190.05610965805897,194.43628587832563,198.62001881284303
9141,172.11532562961065,397.7489302362084,188.07879549020635,190.05610965805903,194.43628587832583,198.62001881285636
9142,172.11532562961065,397.74899781668427,188.07879549020635,190.05610965805909,194.43628587832603,198.62001881286966
9143,172.11532562961065,397.7490653343289,188.07879549020635,190.05610965805914,194.43628587832623,198.6200188128829
9144,172.11532562961065,397.7491327892008,188.07879549020635,190.0561096580592,194.43628587832643,198.62001881289612
9145,172.11532562961065,397.7492001813583,188.07879549020635,190.05610965805926,194.43628587832663,198.6200188129093
9146,172.11532562961065,397.7492675108596,188.07879549020635,190.0561096580593,194.43628587832683,198.62001881292247
9147,172.11532562961065,397.7493347777631,188.07879549020635,190.05610965805937,194.43628587832703,198.62001881293557
9148,172.11532562961065,397.7494019821269,188.07879549020635,190.05610965805943,194.43628587832723,198.62001881294864
9149,172.11532562961065,397.74946912400924,188.07879549020635,190.05610965805948,194.43628587832742,198.6200188129617
9150,172.11532562961065,397.7495362034681,188.07879549020635,190.05610965805954,194.43628587832762,198.6200188129747
9151,172.11532562961065,397.7496032205616,188.07879549020635,190.0561096580596,194.43628587832782,198.6200188129877
9152,172.11532562961065,397.74967017534766,188.07879549020635,190.05610965805965,194.43628587832802,198.62001881300063
9153,172.11532562961065,397.74973706788427,188.07879549020635,190.0561096580597,194.4362858783282,198.62001881301353
9154,172.11532562961065,397.7498038982293,188.07879549020635,190.05610965805977,194.43628587832836,198.6200188130264
9155,172.11532562961065,397.74987066644053,188.07879549020635,190.05610965805982,194.43628587832853,198.62001881303925
9156,172.11532562961065,397.74993737257574,188.07879549020635,190.05610965805988,194.4362858783287,198.62001881305207
9157,172.11532562961065,397.7500040166926,188.07879549020635,190.05610965805994,194.43628587832887,198.62001881306483
9158,172.11532562961065,397.7500705988489,188.07879549020635,190.05610965806,194.43628587832904,198.62001881307756
9159,172.11532562961065,397.75013711910213,188.07879549020635,190.05610965806005,194.43628587832922,198.62001881309027
9160,172.11532562961065,397.75020357750986,188.07879549020635,190.0561096580601,194.4362858783294,198.62001881310294
9161,172.11532562961065,397.75026997412965,188.07879549020635,190.05610965806017,194.43628587832956,198.6200188131156
9162,172.11532562961065,397.7503363090189,188.07879549020635,190.05610965806022,194.43628587832973,198.62001881312818
9163,172.11532562961065,397.750402582235,188.07879549020635,190.05610965806028,194.4362858783299,198.62001881314075
9164,172.11532562961065,397.7504687938353,188.07879549020635,190.05610965806034,194.43628587833007,198.62001881315328
9165,172.11532562961065,397.7505349438771,188.07879549020635,190.0561096580604,194.43628587833024,198.62001881316579
9166,172.11532562961065,397.75060103241753,188.07879549020635,190.05610965806045,194.4362858783304,198.62001881317826
9167,172.11532562961065,397.7506670595139,188.07879549020635,190.05610965806048,194.43628587833058,198.6200188131907
9168,172.11532562961065,397.75073302522327,188.07879549020635,190.0561096580605,194.43628587833075,198.6200188132031
9169,172.11532562961065,397.75079892960275,188.07879549020635,190.05610965806054,194.43628587833092,198.62001881321547
9170,172.11532562961065,397.75086477270935,188.07879549020635,190.05610965806056,194.4362858783311,198.6200188132278
9171,172.11532562961065,397.7509305546,188.07879549020635,190.0561096580606,194.43628587833126,198.6200188132401
9172,172.11532562961065,397.75099627533166,188.07879549020635,190.05610965806062,194.43628587833143,198.6200188132524
9173,172.11532562961065,397.75106193496117,188.07879549020635,190.05610965806065,194.4362858783316,198.62001881326464
9174,172.11532562961065,397.75112753354534,188.07879549020635,190.05610965806068,194.43628587833177,198.62001881327683
