,Sterman soil,NE_MBB trf_linear  soil,NE_MBB trf_linear (constrained) soil,NE_MBB trf_soft_l1  soil,NE_MBB trf_soft_l1 (constrained) soil,NE_MBB trf_huber  soil,NE_MBB trf_huber (constrained) soil,NE_MBB trf_cauchy  soil
130,139.08296524599794,140.45242832522607,137.87898584070223,142.99732265795575,136.06562240068436,142.91023030879612,136.17415220897703,142.32528816356364
131,139.612799324497,140.87517219553374,138.37903316153484,143.33645397466032,136.52066494092722,143.2418272785839,136.63281001339283,142.59134138543817
132,140.14188791037984,141.29872675565164,138.87884974204417,143.6767022788843,136.97624446615356,143.57452015656568,137.09207562764712,142.858411129993
133,140.6701581133027,141.72304039044124,139.37836770439262,144.01803484247935,137.43229770285174,143.9082772734264,137.55188605842096,143.12647606107322
134,141.19753906794045,142.14806242970712,139.87752083474376,144.36041942096023,137.88876266938183,144.24306742809176,138.0121795750952,143.39551512706848
135,141.72396189706632,142.57374313450393,140.37624455461213,144.70382424728865,138.34557865656336,144.57885988171708,138.4728956906255,143.66550755750092
136,142.24935967505078,143.0000336836074,140.8744758925846,145.04821802572658,138.8026862084819,144.9156243517418,138.9339751426525,143.93643285964768
137,142.77366739178248,143.42688616014826,141.3721534564112,145.39356992575858,139.26002710351327,145.2533310060095,139.3953598748442,144.2082708151976
138,143.29682191701482,143.85425353840782,141.8692174054633,145.73984957608238,139.71754433556464,145.59195045695287,139.85699301846964,144.4810014769417
139,143.81876196514065,144.28208967077416,142.36560942355655,146.0870270586675,140.1751820955319,145.93145375584345,140.3188188742019,144.75460516549782
140,144.33942806039718,144.7103492748575,142.86127269213674,146.43507290288153,140.63288575297182,146.27181238710514,140.78078289414822,145.0290624660686
141,144.8587625025034,145.13898792076373,143.35615186382583,146.78395807968298,141.09060183798826,146.61299826269192,141.24283166410567,145.30435422523342
142,145.37670933273094,145.56796201852472,143.85019303632563,147.13365399588088,141.54827802333145,146.95498371652852,141.7049128860402,145.58046154777327
143,145.89321430041008,145.9972288056842,144.34334372667695,147.4841324884602,142.00586310670892,147.2977414990142,142.16697536078783,145.85736579352906
144,146.40822482987113,146.42674633503796,144.83555284587112,147.83536581897243,142.46330699330724,147.64124477158876,142.62896897097505,146.1350485742928
145,146.92168998782216,146.8564734625271,145.32677067381186,148.18732666799144,142.92056067852334,147.98546710136074,143.09084466415746,146.41349175073165
146,147.43356045116298,147.2863698352828,145.81694883462413,148.53998812963326,143.37757623090386,148.3303824557969,143.55255443617423,146.69267742934449
147,147.94378847523518,147.71639587982173,146.30604027230777,148.89332370613982,143.83430677529182,148.6759651974729,144.0140513147165,146.9725879594509
148,148.45232786250824,148.1465127903904,146.7939992267329,149.24730730252602,144.29070647617897,149.0221900788845,144.47528934310796,147.25320593021237
149,148.95913393170045,148.5766825174573,147.28078120997407,149.60191322128935,144.74673052126246,149.36903223731883,144.93622356429532,147.5345141676855
150,149.46416348733422,149.0068677563515,147.76634298298077,149.95711615718167,145.2023351052048,149.71646718978528,145.39681000504726,147.81649573190688
151,149.96737478972437,149.43703193604642,148.25064253258094,150.31289119204274,145.6574774135954,150.06447082800554,145.8570056603593,148.09913391400966
152,150.46872752539807,149.86713920808708,148.73363904881484,150.6692137896947,146.1121156071125,150.41301941346228,146.31676847806312,148.38241223337135
153,150.96818277794478,150.29715443566016,149.21529290259602,151.02605979089716,146.56620880588414,150.76208957250597,146.77605734363797,148.6663144347929
154,151.46570299929462,150.7270431828048,149.69556562369675,151.383405408362,147.0197170740465,151.11165829151926,147.2348320652226,148.95082448570844
155,151.96125198142283,151.15677170376324,150.17441987905462,151.741227221828,147.47260140449814,151.46170291213872,147.6930533588255,149.2359265734259
156,152.45479482847844,151.58630693246988,150.65181945139736,152.09950217319405,147.92482370384903,151.81220112653304,148.15068283373145,149.52160510239796
157,152.94629792933463,152.01561647217716,151.1277292181828,152.4582075617106,148.3763467775624,152.16313097273746,148.60768297810273,149.8078446915233
158,153.43572893055835,152.44466858521727,151.60211513085093,152.81732103922909,148.8271343152882,152.5144708300439,149.06401714477263,150.0946301714777
159,153.92305670979653,152.87343218289803,152.07494419438484,153.1768206055086,149.2771508763866,152.86619941444619,149.51964953722964,150.3819465820751
160,154.4082513495761,153.30187681553173,152.5461844471777,153.53668460357886,149.72636187563967,153.21829577413993,149.97454519579009,150.66977916965794
161,154.89128411151486,153.72997266259566,153.01580494120216,153.89689171515968,150.17473356915016,153.57073928507657,150.4286699839576,150.95811338451693
162,155.37212741094018,154.15769052302267,153.48377572247958,154.25742095613583,150.62223304042553,153.923509646571,150.88199057496718,151.24693487833986
163,155.85075479191224,154.58500180562075,153.95006781184566,154.61825167208676,151.0688281866455,154.27658687696243,151.33447443851196,151.53622950168906
164,156.32714090264875,155.01187851962015,154.41465318600925,154.97936353387115,151.51448770511197,154.62995130932768,151.786089827651,151.82598330150762
165,156.80126147134757,155.43829326534652,154.8775047589013,155.34073653326504,151.95918107987907,154.98358358724693,152.23680576589592,152.11618251865383
166,157.27309328240386,155.86421922501907,155.33859636331096,155.70235097865353,152.4028785685624,155.33746466062064,152.68659203447433,152.40681358546362
167,157.74261415301808,156.28963015367222,155.79790273280523,156.06418749077514,152.84555118932522,155.691575781538,153.13541915976865,152.69786312334108
168,158.20980291019143,156.7145003701993,156.25539948392935,156.42622699851864,153.28717070804055,156.04589850019573,153.58325840092795,152.98931794037625
169,158.67463936810472,157.13880474851717,156.71106309868466,156.78845073477163,153.72770962562697,156.40041466086703,154.03008173765107,153.2811650289906
170,159.1371043058771,157.56251870885046,157.16487090728083,157.15084023232006,154.1671411655568,156.7551063979202,154.47586185813924,153.57339156360928
171,159.59717944570076,157.98561820913383,157.61680107115907,157.51337731979885,154.60543926153514,157.1099561318863,154.9205721472161,153.86598489836052
172,160.05484743134755,158.40807973653125,158.06683256628358,157.87604411769232,155.04257854534748,157.46494656557547,155.36418667461342,154.1589325648015
173,160.51009180704384,158.82988029907082,158.5149451666976,158.2388230343845,155.47853433487523,157.82006068024128,155.80668018342067,154.4522222696706
174,160.96289699670942,159.250997417394,158.96111942834133,158.60169676225823,155.9132826222765,158.1752817317928,156.24802807869645,154.74584189266596
175,161.4132482835564,159.67140911661755,159.4053366731285,158.9646482738432,156.34680006233123,158.53059324705364,156.68820641624015,155.03977948424955
176,161.86113179004417,160.09109391830762,159.8475789732781,159.32766081801188,156.77906396094843,158.8859790200678,157.12719189152168,155.33402326347738
177,162.30653445818606,160.51003083256379,160.2878291358989,159.69071791622278,157.21005226383448,159.2414231084514,157.5649618287679,155.62856161585472
