,Sterman biomass,NE_OH trf_linear  biomass,NE_OH trf_linear (constrained) biomass,NE_OH trf_soft_l1 (constrained) biomass,NE_OH trf_huber  biomass,NE_OH trf_huber (constrained) biomass
2384,316.6631518692655,342.89685808381904,333.24493664913155,349.7249560150001,372.57637106836637,339.2153985765963
2385,316.66315186926573,342.89685808422286,333.2449366491838,349.72495601550264,372.576371084019,339.2153985766644
2386,316.6631518692659,342.8968580846228,333.2449366492355,349.7249560160005,372.57637109954743,339.2153985767319
2387,316.663151869266,342.89685808501895,333.2449366492867,349.72495601649354,372.5763711149527,339.21539857679863
2388,316.66315186926613,342.8968580854114,333.2449366493373,349.72495601698193,372.57637113023566,339.21539857686474
2389,316.66315186926624,342.89685808580003,333.24493664938745,349.72495601746573,372.57637114539733,339.21539857693017
2390,316.66315186926636,342.896858086185,333.2449366494371,349.724956017945,372.5763711604387,339.2153985769949
2391,316.66315186926647,342.8968580865663,333.24493664948614,349.7249560184197,372.57637117536075,339.215398577059
2392,316.6631518692666,342.89685808694395,333.2449366495347,349.7249560188899,372.57637119016437,339.21539857712236
2393,316.6631518692667,342.89685808731804,333.24493664958277,349.72495601935566,372.57637120485055,339.2153985771851
2394,316.6631518692668,342.89685808768854,333.24493664963035,349.72495601981706,372.5763712194201,339.2153985772472
2395,316.6631518692669,342.8968580880556,333.2449366496774,349.7249560202741,372.57637123387406,339.2153985773087
2396,316.66315186926704,342.8968580884191,333.24493664972397,349.7249560207268,372.5763712482133,339.2153985773695
2397,316.66315186926715,342.89685808877914,333.24493664977,349.7249560211752,372.5763712624388,339.2153985774297
2398,316.66315186926727,342.8968580891358,333.2449366498156,349.7249560216194,372.5763712765514,339.2153985774893
2399,316.6631518692674,342.89685808948906,333.2449366498607,349.72495602205936,372.576371290552,339.2153985775482
2400,316.6631518692675,342.89685808983893,333.2449366499053,349.7249560224952,372.5763713044415,339.2153985776066
2401,316.6631518692676,342.89685809018545,333.2449366499495,349.72495602292685,372.5763713182208,339.21539857766436
2402,316.6631518692677,342.89685809052867,333.24493664999324,349.7249560233545,372.57637133189075,339.2153985777215
2403,316.66315186926784,342.8968580908687,333.2449366500365,349.7249560237781,372.57637134545223,339.21539857777805
2404,316.66315186926795,342.8968580912055,333.2449366500793,349.7249560241977,372.5763713589061,339.21539857783404
2405,316.66315186926806,342.89685809153906,333.2449366501217,349.72495602461333,372.57637137225316,339.21539857788946
2406,316.6631518692682,342.89685809186943,333.24493665016365,349.72495602502505,372.57637138549427,339.2153985779443
2407,316.6631518692683,342.8968580921967,333.24493665020515,349.7249560254329,372.57637139863033,339.2153985779986
2408,316.6631518692684,342.8968580925208,333.24493665024625,349.7249560258369,372.5763714116622,339.2153985780523
2409,316.6631518692685,342.89685809284185,333.2449366502869,349.724956026237,372.5763714245906,339.2153985781055
2410,316.66315186926863,342.89685809315984,333.2449366503271,349.7249560266334,372.57637143741636,339.21539857815816
2411,316.66315186926875,342.8968580934748,333.24493665036687,349.72495602702594,372.57637145014036,339.2153985782102
2412,316.66315186926886,342.8968580937868,333.24493665040626,349.7249560274148,372.57637146276335,339.2153985782618
2413,316.663151869269,342.8968580940958,333.2449366504452,349.72495602780003,372.5763714752862,339.2153985783128
2414,316.6631518692691,342.89685809440186,333.24493665048374,349.7249560281816,372.57637148770965,339.21539857836325
2415,316.6631518692692,342.896858094705,333.2449366505219,349.72495602855963,372.5763715000345,339.21539857841316
2416,316.6631518692693,342.8968580950053,333.2449366505596,349.72495602893406,372.5763715122616,339.21539857846255
2417,316.6631518692694,342.8968580953027,333.24493665059697,349.7249560293049,372.5763715243916,339.2153985785115
2418,316.66315186926954,342.89685809559734,333.244936650634,349.7249560296722,372.57637153642537,339.2153985785599
2419,316.66315186926965,342.8968580958891,333.2449366506705,349.72495603003614,372.5763715483636,339.21539857860785
2420,316.66315186926977,342.8968580961781,333.24493665070673,349.7249560303966,372.5763715602072,339.21539857865525
2421,316.6631518692699,342.89685809646437,333.24493665074255,349.7249560307536,372.57637157195677,339.2153985787022
2422,316.66315186927,342.8968580967479,333.244936650778,349.7249560311073,372.57637158361314,339.21539857874865
2423,316.6631518692701,342.89685809702877,333.2449366508131,349.72495603145757,372.57637159517697,339.21539857879463
2424,316.6631518692702,342.89685809730696,333.2449366508478,349.7249560318046,372.576371606649,339.2153985788401
2425,316.66315186927034,342.8968580975825,333.2449366508822,349.7249560321484,372.57637161803,339.21539857888513
2426,316.66315186927045,342.8968580978554,333.2449366509162,349.7249560324889,372.5763716293207,339.2153985789297
2427,316.66315186927056,342.8968580981257,333.24493665094985,349.7249560328261,372.5763716405218,339.21539857897375
2428,316.6631518692707,342.8968580983934,333.24493665098316,349.7249560331602,372.576371651634,339.2153985790174
2429,316.6631518692708,342.8968580986586,333.24493665101613,349.72495603349114,372.57637166265806,339.21539857906055
2430,316.6631518692709,342.89685809892126,333.24493665104876,349.7249560338189,372.5763716735946,339.2153985791033
2431,316.663151869271,342.89685809918143,333.24493665108105,349.7249560341436,372.5763716844444,339.2153985791456
